,nro_registro_interno,fecha_ingreso_denuncia,tema,subtema,referido_tipo,nacionalidad,provincia,localidad,genero,edad_aparente,embarazada,discapacidad,provincia_indec_id
0,2584554505,2020-01-01,Trata,"Explotación sexual niñas, niños y adolescentes",Victima directa,Argentina,Buenos Aires,Buenos Aires,Mujer,14.0,No,No,6.0
1,2584554505,2020-01-01,Trata,"Explotación sexual niñas, niños y adolescentes",Acusado,Argentina,Buenos Aires,Ciudad Autónoma de Buenos Aires,Mujer,36.0,No,No,6.0
2,3584554505,2020-01-02,Trata,"Extracción forzosa de órganos, tejidos o fluidos",Acusado,Argentina,Buenos Aires,San Francisco Solano,Hombre,60.0,No,No,6.0
3,594554505,2020-01-02,Trata,Explotación sexual,Acusado,Argentina,Córdoba,Laboulaye,Hombre,No especifica,No,No,14.0
4,2594554505,2020-01-02,Trata,Persona desaparecida,Victima directa,Paraguay,Buenos Aires,No especifica,Mujer,No especifica,No,No,6.0
8,7505554505,2020-01-04,Trata,Oferta laboral engañosa,Victima directa,Argentina,Buenos Aires,No especifica,Mujer,No especifica,No,No,6.0
9,7505554505,2020-01-04,Trata,Oferta laboral engañosa,Acusado,No especifica,No especifica,No especifica,Hombre,No especifica,No,No,No especifica
10,8415554505,2020-01-04,Trata,Persona desaparecida,Victima directa,Paraguay,Buenos Aires,No especifica,Mujer,No especifica,No,No,6.0
17,525554505,2020-01-07,Trata,"Explotación sexual, explotación sexual niñas, niños y adolescentes",Acusado,Argentina,No especifica,No especifica,Mujer,50.0,No,No,No especifica
19,1525554505,2020-01-07,Trata,"Persona desaparecida, venta de niños y otros delitos",Victima directa,Argentina,Buenos Aires,Melchor Romero,Mujer,27.0,No,No,6.0
23,7525554505,2020-01-08,Trata,Persona desaparecida,Victima directa,Argentina,Buenos Aires,Melchor Romero,Mujer,No especifica,No,No,6.0
25,2535554505,2020-01-09,Trata,Posible captación,Victima directa,Argentina,Mendoza,Rivadavia,Mujer,24.0,No,No,50.0
26,3535554505,2020-01-09,Trata,Posible captación,Victima directa,Argentina,Mendoza,Rivadavia,Mujer,No especifica,No,No,50.0
29,545554505,2020-01-09,Trata,Posible captación,Victima directa,Argentina,Buenos Aires,No especifica,Mujer,No especifica,No,No,6.0
30,545554505,2020-01-09,Trata,Posible captación,Acusado,Argentina,Buenos Aires,San Isidro,Mujer,No especifica,No,No,6.0
35,4555554505,2020-01-11,Trata,Persona desaparecida,Victima directa,Argentina,Buenos Aires,San Miguel,Mujer,No especifica,No,No,6.0
36,8465554505,2020-01-11,Trata,"Explotación sexual niñas, niños y adolescentes",Victima directa,Argentina,No especifica,No especifica,Mujer,No especifica,No,No,No especifica
37,9465554505,2020-01-11,Trata,Explotación sexual,Acusado,Argentina,Buenos Aires,Ciudad Autónoma de Buenos Aires,Hombre,50.0,No,No,6.0
38,565554505,2020-01-11,Trata,"Persona desaparecida, posible captación",Victima directa,Argentina,Buenos Aires,Gobernador Costa,Mujer,24.0,Si,No,6.0
42,5584654505,2020-01-15,Trata,Explotación sexual,Victima directa,Argentina,No especifica,No especifica,Mujer,No especifica,No,No,No especifica
46,3594654505,2020-01-16,Trata,Explotación sexual,Acusado,Dominica,No especifica,No especifica,Hombre,No especifica,No,No,No especifica
47,5594654505,2020-01-16,Trata,Explotación laboral,Victima directa,Argentina,Buenos Aires,Marcos Paz,Hombre,No especifica,No,No,6.0
48,4505654505,2020-01-16,Trata,"Explotación laboral, explotación laboral niñas, niños y adolescentes",Victima directa,Argentina,Buenos Aires,Virrey del Pino,Mujer,No especifica,No,No,6.0
51,8415654505,2020-01-17,Trata,Explotación sexual,Victima directa,Argentina,Tucumán,San Miguel de Tucumán,Mujer,No especifica,No,No,90.0
53,1515654505,2020-01-17,Trata,Persona desaparecida,Victima indirecta - familiar,Argentina,Tucumán,Famaillá,Mujer,No especifica,No,No,90.0
58,5515654505,2020-01-18,Trata,Persona desaparecida,Victima directa,Argentina,Córdoba,Jesus María,Mujer,No especifica,No,No,14.0
61,9425654505,2020-01-19,Trata,Explotación sexual,Acusado,Argentina,Tucumán,San Miguel de Tucumán,Hombre,No especifica,No,No,90.0
64,4535654505,2020-01-21,Trata,Persona desaparecida,Victima directa,Argentina,Buenos Aires,Los Polvorines,Hombre,No especifica,No,No,6.0
73,2555654505,2020-01-22,Trata,Persona desaparecida,Victima directa,Argentina,Buenos Aires,Villa Tesei,Mujer,28.0,Si,Si,6.0
74,4555654505,2020-01-23,Trata,Persona desaparecida,Victima directa,Argentina,Buenos Aires,Los Polvorines,Hombre,No especifica,No,No,6.0
75,3555654505,2020-01-23,Trata,Persona desaparecida,Victima directa,Argentina,Buenos Aires,Pablo Nogués,Hombre,37.0,No,No,6.0
76,3555654505,2020-01-23,Trata,Persona desaparecida,Victima indirecta - familiar,Argentina,Buenos Aires,Bella Vista,Mujer,60.0,No,No,6.0
