Empresa,Resolución,Fecha,Expediente,Multa (UT),Unidad,Multa ($),Discriminación,Tipo Sanción,Año
Telecom Argentina S.A.,67-APN-ENACOM#MM/2018,03/01/18,452-EXPENACOM/2017,$ 900.000,UT,$ 42.210,Reparación Servicio,Multa,2018
Telefónica de Argentina S.A.,68-APN-ENACOM#MM/2018,03/01/18,5696-EXPENACOM/2017,$ 400.000,UT,$ 18.760,Cambio de Domicilio,Multa,2018
Telecom Argentina S.A.,69-APN-ENACOM#MM/2018,03/01/18,2717-EXPENACOM/2017,$ 400.000,UT,$ 18.760,Instalación Servicio,Multa,2018
Telecom Argentina S.A.,70-APN-ENACOM#MM/2018,03/01/18,5654-EXPCNC/2013,$ 400.000,UT,$ 18.760,Facturación,Multa,2018
Telefónica de Argentina S.A.,71-APN-ENACOM#MM/2018,03/01/18,1112-EXPENACOM/2017,$ 400.000,UT,$ 18.760,Reparación Servicio,Multa,2018
Telecom Argentina S.A.,72-APN-ENACOM#MM/2018,03/01/18,1766-EXPENACOM/2017,$ 400.000,UT,$ 18.760,Reparación Servicio,Multa,2018
Telecom Argentina S.A.,73-APN-ENACOM#MM/2018,03/01/18,13820-EXPENACOM/2016,$ 400.000,UT,$ 18.760,Reparación Servicio,Multa,2018
Telecom Argentina S.A.,76-APN-ENACOM#MM/2018,04/01/18,2916-EXPENACOM/2017,$ 500.000,UT,$ 23.450,Reparación Servicio,Multa,2018
Telecom Argentina S.A.,77-APN-ENACOM#MM/2018,04/01/18,2533-EXPENACOM/2017,$ 400.000,UT,$ 18.760,Instalación Servicio,Multa,2018
Telecom Argentina S.A.,78-APN-ENACOM#MM/2018,04/01/18,5851-EXPENACOM/2017,$ 400.000,UT,$ 18.760,Reparación Servicio,Multa,2018
Telecom Argentina S.A.,79-APN-ENACOM#MM/2018,04/01/18,5770-EXPENACOM/2017,$ 400.000,UT,$ 18.760,Reparación Servicio,Multa,2018
Telecom Personal S.A.,80-APN-ENACOM#MM/2018,04/01/18,5490-EXPENACOM/2017,$ 800.000,UT,$ 37.520,Servicio Deficiente,Multa,2018
Telecom Argentina S.A.,81-APN-ENACOM#MM/2018,04/01/18,3128-EXPENACOM/2017,$ 400.000,UT,$ 18.760,Reparación Servicio,Multa,2018
Telecom Argentina S.A.,82-APN-ENACOM#MM/2018,04/01/18,6929-EXPENACOM/2017,$ 100.000,UT,$ 4.690,Facturación,Multa,2018
Telecom Argentina S.A.,83-APN-ENACOM#MM/2018,04/01/18,2771-EXPENACOM/2017,$ 400.000,UT,$ 18.760,Reparación Servicio,Multa,2018
Telecom Argentina S.A.,84-APN-ENACOM#MM/2018,04/01/18,1616-EXPENACOM/2017,$ 800.000,UT,$ 37.520,Reparación Servicio,Multa,2018
Telecom Personal S.A.,85-APN-ENACOM#MM/2018,04/01/18,1958-EXPENACOM/2016,$ 400.000,UT,$ 18.760,Facturación,Multa,2018
Telefónica de Argentina S.A.,86-APN-ENACOM#MM/2018,04/01/18,5876-EXPENACOM/2016,$ 400.000,UT,$ 18.760,Reparación Servicio,Multa,2018
Telecom Argentina S.A.,138-APN-ENACOM#MM/2018,05/01/18,9933-EXPENACOM/2017,$ 400.000,UT,$ 18.760,Reparación Servicio,Multa,2018
Telecom Argentina S.A.,139-APN-ENACOM#MM/2018,05/01/18,12547-EXPENACOM/2016,$ 400.000,UT,$ 18.760,Reparación Servicio,Multa,2018
Telecom Argentina S.A.,66-APN-ENACOM#MM/2018,03/01/18,13299-EXPENACOM/2016,$ 800.000,UT,$ 37.520,Reparación Servicio,Multa,2018
Telefónica de Argentina S.A.,2-APN-ENACOM#MM/2018,03/01/18,13652-EXPCNC/2013,$ 400.000,UT,$ 18.760,Reparación Servicio,Multa,2018
Telecom Argentina S.A.,3-APN-ENACOM#MM/2018,03/01/18,15330-EXPENACOM/2016,$ 400.000,UT,$ 18.760,Reparación Servicio,Multa,2018
Telecom Argentina S.A.,4-APN-ENACOM#MM/2018,03/01/18,984-EXPENACOM/2017,$ 900.000,UT,$ 42.210,Servicio Deficiente,Multa,2018
Telefónica Moviles Argentina,5-APN-ENACOM#MM/2018,03/01/18,13695-EXPENACOM/2016,$ 400.000,UT,$ 18.760,Servicio Deficiente,Multa,2018
Telecom Argentina S.A.,6-APN-ENACOM#MM/2018,03/01/18,2206-EXPENACOM/2017,$ 400.000,UT,$ 18.760,Servicio Deficiente,Multa,2018
Telecom Argentina S.A.,7-APN-ENACOM#MM/2018,03/01/18,16889-EXPENACOM/2016,$ 800.000,UT,$ 37.520,Cambio de Domicilio,Multa,2018
Telecom Argentina S.A.,8-APN-ENACOM#MM/2018,03/01/18,3878-EXPENACOM/2017,$ 500.000,UT,$ 23.450,Reparación Servicio,Multa,2018
Telecom Personal S.A.,9-APN-ENACOM#MM/2018,03/01/18,3899-EXPENACOM/2017,$ 800.000,UT,$ 37.520,Facturación,Multa,2018
Telefónica de Argentina S.A.,10-APN-ENACOM#MM/2018,03/01/18,6164-EXPENACOM/2017,$ 400.000,UT,$ 18.760,Reparación Servicio,Multa,2018
Telecom Argentina S.A.,11-APN-ENACOM#MM/2018,03/01/18,13426-EXPENACOM/2016,$ 400.000,UT,$ 18.760,Facturación,Multa,2018
Telmex Argentina,12-APN-ENACOM#MM/2018,03/01/18,2657-EXPENACOM/2017,$ 800.000,UT,$ 37.520,Servicio Deficiente,Multa,2018
Telecom Argentina S.A.,13-APN-ENACOM#MM/2018,03/01/18,3064-EXPENACOM/2017,$ 400.000,UT,$ 18.760,Instalación Servicio,Multa,2018
Telecom Argentina S.A.,14-APN-ENACOM#MM/2018,03/01/18,2356-EXPENACOM/2017,$ 400.000,UT,$ 18.760,Cambio de Domicilio,Multa,2018
Telefónica de Argentina S.A.,15-APN-ENACOM#MM/2018,03/01/18,3876-EXPENACOM/2017,$ 400.000,UT,$ 18.760,Reparación Servicio,Multa,2018
Telecom Argentina S.A.,16-APN-ENACOM#MM/2018,03/01/18,4831-EXPENACOM/2017,$ 500.000,UT,$ 23.450,Reparación Servicio,Multa,2018
Telecom Personal S.A.,17-APN-ENACOM#MM/2018,03/01/18,7184-EXPENACOM/2017,$ 400.000,UT,$ 18.760,Facturación,Multa,2018
